tree_id,legal_status,species,address,site_order,site_info,plant_type,care_taker,care_assistant,plant_date,dbh,plot_size,permit_notes,x_coordinate,y_coordinate,latitude,longitude,location
259634,DPW Maintained,::,83 Arleta Ave,1,Sidewalk: Curb side : Cutout,Tree,DPW,FUF,2019-06-01 00:00:00 UTC,3,,,6010826.96041,2087682.93228,37.7129904051639,-122.404420283412,POINT (-122.404420283412 37.7129904051639)
35137,Permitted Site,::,832 Naples St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1998-01-28 00:00:00 UTC,,,Permit Number 38668,6002000.93226273,2088942.9752097,37.7159530242515,-122.435015979431,POINT (-122.435015979431 37.7159530242515)
32479,DPW Maintained,::,81 Saturn St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1996-10-10 00:00:00 UTC,8,,Permit Number 36987,6000177.30918,2105965.99025,37.7625904842844,-122.442540757445,POINT (-122.442540757445 37.7625904842844)
118550,Undocumented,::,8140 Geary Blvd,3,Side Yard : Yard,Tree,Private,,,,,,5981686.0706,2112397.37669,37.7791778206923,-122.506971243035,POINT (-122.506971243035 37.7791778206923)
33208,Permitted Site,::,80 Ulloa St,2,Sidewalk: Curb side : Cutout,Tree,Private,,1996-11-06 00:00:00 UTC,,,Permit Number 37408,5996508.84910838,2099508.74034148,37.7446507048802,-122.454762009134,POINT (-122.454762009134 37.7446507048802)
33206,Permitted Site,::,80 Ulloa St,5,Sidewalk: Curb side : Cutout,Tree,Private,,1996-11-06 00:00:00 UTC,,,Permit Number 37408,5996508.84910838,2099508.74034148,37.7446507048802,-122.454762009134,POINT (-122.454762009134 37.7446507048802)
33209,Permitted Site,::,80 Ulloa St,1,Sidewalk: Curb side : Cutout,Tree,Private,,1996-11-06 00:00:00 UTC,,,Permit Number 37408,5996508.84910838,2099508.74034148,37.7446507048802,-122.454762009134,POINT (-122.454762009134 37.7446507048802)
33205,Permitted Site,::,80 Ulloa St,4,Sidewalk: Curb side : Cutout,Tree,Private,,1996-11-06 00:00:00 UTC,,,Permit Number 37408,5996508.84910838,2099508.74034148,37.7446507048802,-122.454762009134,POINT (-122.454762009134 37.7446507048802)
33210,Permitted Site,::,80 Ulloa St,3,Sidewalk: Curb side : Cutout,Tree,Private,,1996-11-06 00:00:00 UTC,,,Permit Number 37408,5996508.84910838,2099508.74034148,37.7446507048802,-122.454762009134,POINT (-122.454762009134 37.7446507048802)
173867,DPW Maintained,::,808 Capitol Ave,1,Sidewalk: Property side : Cutout,Tree,Private,,2017-01-31 00:00:00 UTC,3,,,5995075.95943,2089664.90678,37.7175396369842,-122.459004013836,POINT (-122.459004013836 37.7175396369842)
173868,DPW Maintained,::,808 Capitol Ave,2,Sidewalk: Property side : Cutout,Tree,Private,,2017-01-31 00:00:00 UTC,3,,,5995075.95943,2089664.90678,37.7175396369842,-122.459004013836,POINT (-122.459004013836 37.7175396369842)
37632,Permitted Site,::,791 18th Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1998-06-26 00:00:00 UTC,,,Permit Number 40050,5990357.50342651,2110002.09732806,37.7731079035048,-122.476798459473,POINT (-122.476798459473 37.7731079035048)
36500,Permitted Site,::,78 Anderson St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1998-05-18 00:00:00 UTC,,,Permit Number 39380,6007942.28499887,2098248.55652594,37.7418397151309,-122.41513812883,POINT (-122.41513812883 37.7418397151309)
31192,Permitted Site,::,744 Shields St,5,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1995-03-21 00:00:00 UTC,,,Permit Number 34885,5992088.16257343,2089881.74957895,37.7179628280945,-122.469347142572,POINT (-122.469347142572 37.7179628280945)
31190,Permitted Site,::,744 Shields St,3,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1995-03-21 00:00:00 UTC,,,Permit Number 34885,5992088.16257343,2089881.74957895,37.7179628280945,-122.469347142572,POINT (-122.469347142572 37.7179628280945)
31189,Permitted Site,::,744 Shields St,2,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1995-03-21 00:00:00 UTC,,,Permit Number 34885,5992088.16257343,2089881.74957895,37.7179628280945,-122.469347142572,POINT (-122.469347142572 37.7179628280945)
31191,Permitted Site,::,744 Shields St,4,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1995-03-21 00:00:00 UTC,,,Permit Number 34885,5992088.16257343,2089881.74957895,37.7179628280945,-122.469347142572,POINT (-122.469347142572 37.7179628280945)
31188,Permitted Site,::,744 Shields St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,1995-03-21 00:00:00 UTC,,,Permit Number 34885,5992088.16257343,2089881.74957895,37.7179628280945,-122.469347142572,POINT (-122.469347142572 37.7179628280945)
38338,Permitted Site,::,73 Carl St,1,Sidewalk: Curb side : Cutout,Tree,Private,,1998-07-29 00:00:00 UTC,,,Permit Number 40405,5998234.47777194,2107177.32360217,37.7658055638462,-122.44934755802,POINT (-122.44934755802 37.7658055638462)
104856,DPW Maintained,::,739 27th St,,Sidewalk: Curb side : Cutout,Landscaping,Private,,2015-02-12 00:00:00 UTC,3,,,6001722.3,2099959.7,37.7461866004606,-122.436767226643,POINT (-122.436767226643 37.7461866004606)
105121,Undocumented,::,721 BEACH ST,,Sidewalk: Curb side : Cutout,Tree,Private,,,9,,,6006739.7,2121813.5,37.8064757462399,-122.420969011396,POINT (-122.420969011396 37.8064757462399)
115064,DPW Maintained,::,70 Coral Rd,4,Sidewalk: Curb side : Cutout,Tree,DPW,,,,,,6012676.36761,2102522.24683,37.7538392609312,-122.399069018455,POINT (-122.399069018455 37.7538392609312)
115065,DPW Maintained,::,70 Coral Rd,5,Sidewalk: Curb side : Cutout,Tree,DPW,,,,,,6012676.36761,2102522.24683,37.7538392609312,-122.399069018455,POINT (-122.399069018455 37.7538392609312)
115066,DPW Maintained,::,70 Coral Rd,6,Sidewalk: Curb side : Cutout,Tree,DPW,,,,,,6012676.36761,2102522.24683,37.7538392609312,-122.399069018455,POINT (-122.399069018455 37.7538392609312)
115063,DPW Maintained,::,70 Coral Rd,3,Sidewalk: Curb side : Cutout,Tree,DPW,,,,,,6012676.36761,2102522.24683,37.7538392609312,-122.399069018455,POINT (-122.399069018455 37.7538392609312)
115067,DPW Maintained,::,70 Coral Rd,7,Sidewalk: Curb side : Cutout,Tree,DPW,,,,,,6012676.36761,2102522.24683,37.7538392609312,-122.399069018455,POINT (-122.399069018455 37.7538392609312)
115068,DPW Maintained,::,70 Coral Rd,8,Sidewalk: Curb side : Cutout,Tree,DPW,,,,,,6012676.36761,2102522.24683,37.7538392609312,-122.399069018455,POINT (-122.399069018455 37.7538392609312)
115069,DPW Maintained,::,70 Coral Rd,9,Sidewalk: Curb side : Cutout,Tree,DPW,,,,,,6012676.36761,2102522.24683,37.7538392609312,-122.399069018455,POINT (-122.399069018455 37.7538392609312)
115061,DPW Maintained,::,70 Coral Rd,1,Sidewalk: Curb side : Cutout,Tree,DPW,,,,,,6012676.36761,2102522.24683,37.7538392609312,-122.399069018455,POINT (-122.399069018455 37.7538392609312)
115062,DPW Maintained,::,70 Coral Rd,2,Sidewalk: Curb side : Cutout,Tree,DPW,,,,,,6012676.36761,2102522.24683,37.7538392609312,-122.399069018455,POINT (-122.399069018455 37.7538392609312)
106460,Undocumented,::,701 Cortland Ave,3,Sidewalk: Curb side : Cutout,Tree,DPW,,,,,,6007932.0,2097222.5,37.7390218122591,-122.415101080128,POINT (-122.415101080128 37.7390218122591)
106461,Undocumented,::,701 Cortland Ave,4,Sidewalk: Curb side : Cutout,Tree,DPW,,,,,,6007932.0,2097222.5,37.7390218122591,-122.415101080128,POINT (-122.415101080128 37.7390218122591)
