unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
11226317,JB145493,2018-01-17 13:45:00 UTC,035XX E 114TH ST,1541,OBSCENITY,SALE/DIST OBSCENE MAT TO MINOR,"SCHOOL, PUBLIC, BUILDING",true,false,433,4,10,52,17,1201660.0,1829983.0,2018,2018-05-04 15:51:04 UTC,41.688218178,-87.537357913,"(41.688218178, -87.537357913)"
11185849,JA560288,2017-12-23 03:30:00 UTC,006XX E 131ST ST,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,CHA PARKING LOT/GROUNDS,false,false,533,5,9,54,04A,1182822.0,1818558.0,2017,2018-05-04 15:51:04 UTC,41.657323297,-87.606674184,"(41.657323297, -87.606674184)"
11226759,JB146444,2017-12-13 10:00:00 UTC,072XX N OLEANDER AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,false,false,1611,16,41,9,11,,,2017,2018-02-10 16:08:39 UTC,,,
11175755,JA546555,2017-12-12 15:50:00 UTC,133XX S CORLISS AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,false,true,533,5,9,54,04A,1184068.0,1817333.0,2017,2018-02-10 15:50:01 UTC,41.653932799,-87.60215292,"(41.653932799, -87.60215292)"
11169927,JA538675,2017-12-06 09:20:00 UTC,051XX N MILWAUKEE AVE,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,POLICE FACILITY/VEH PARKING LOT,true,false,1623,16,45,11,18,1138424.0,1933673.0,2017,2018-02-10 15:50:01 UTC,41.974129858,-87.766357256,"(41.974129858, -87.766357256)"
11163509,JA529606,2017-11-28 20:00:00 UTC,088XX S OGLESBY AVE,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,false,false,412,4,8,48,07,1193372.0,1846757.0,2017,2018-02-10 15:50:01 UTC,41.734453872,-87.567152629,"(41.734453872, -87.567152629)"
11134852,JA492544,2017-10-30 22:56:00 UTC,029XX S STEWART AVE,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,STREET,false,false,914,9,11,34,03,1174152.0,1885127.0,2017,2017-11-06 15:52:31 UTC,41.840193207,-87.636426142,"(41.840193207, -87.636426142)"
11107454,JA456730,2017-10-02 20:00:00 UTC,056XX W 64TH PL,0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",RESIDENCE,false,false,812,8,13,64,07,1139981.0,1861232.0,2017,2018-02-10 15:50:01 UTC,41.77531381,-87.762403576,"(41.77531381, -87.762403576)"
11112618,JA455793,2017-10-02 07:30:00 UTC,066XX N OLMSTED AVE,0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET,false,true,1612,16,41,9,07,1125425.0,1943135.0,2017,2018-02-10 15:50:01 UTC,42.000320673,-87.813948185,"(42.000320673, -87.813948185)"
11079046,JA420944,2017-09-06 12:35:00 UTC,083XX S STONY ISLAND AVE,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,true,false,412,4,8,45,26,1188253.0,1850180.0,2017,2018-02-10 15:50:01 UTC,41.743970443,-87.585797123,"(41.743970443, -87.585797123)"
11070487,JA410164,2017-08-29 02:04:00 UTC,024XX W 35TH ST,2022,NARCOTICS,POSS: COCAINE,STREET,true,false,911,9,12,59,18,1160768.0,1881407.0,2017,2018-02-10 15:50:01 UTC,41.830272615,-87.685642874,"(41.830272615, -87.685642874)"
11059524,JA396816,2017-08-18 18:00:00 UTC,051XX W STRONG ST,0554,ASSAULT,AGG PO HANDS NO/MIN INJURY,RESIDENTIAL YARD (FRONT/BACK),false,false,1623,16,45,11,08A,1141200.0,1932429.0,2017,2018-02-10 15:50:01 UTC,41.97066535,-87.756179809,"(41.97066535, -87.756179809)"
11049857,JA385486,2017-08-03 00:00:00 UTC,001XX W GARFIELD BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,CURRENCY EXCHANGE,false,false,225,2,3,37,11,1176228.0,1868523.0,2017,2018-02-10 15:50:01 UTC,41.794583892,-87.629307346,"(41.794583892, -87.629307346)"
11152370,JA515718,2017-07-20 12:00:00 UTC,108XX S AVENUE C,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,432,4,10,52,11,1204456.0,1833698.0,2017,2018-02-10 15:50:01 UTC,41.698341097,-87.526994932,"(41.698341097, -87.526994932)"
11023592,JA354492,2017-07-18 12:15:00 UTC,056XX N MAJOR AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,1622,16,45,11,26,1137206.0,1937133.0,2017,2018-02-10 15:50:01 UTC,41.983646428,-87.770752687,"(41.983646428, -87.770752687)"
11063258,JA401412,2017-07-10 12:00:00 UTC,057XX N ORANGE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1614,16,41,10,11,1122441.0,1936915.0,2017,2018-02-10 15:50:01 UTC,41.983301491,-87.825061758,"(41.983301491, -87.825061758)"
10997707,JA324448,2017-06-27 10:05:00 UTC,040XX W FOSTER AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,GROCERY FOOD STORE,true,false,1712,17,39,13,04A,1148424.0,1934247.0,2017,2018-02-10 15:50:01 UTC,41.97551745,-87.729569215,"(41.97551745, -87.729569215)"
10989891,JA316500,2017-06-19 12:00:00 UTC,030XX W 111TH ST,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,BANK,false,false,2211,22,19,74,11,1157856.0,1830854.0,2017,2018-02-10 15:50:01 UTC,41.69160718,-87.697697663,"(41.69160718, -87.697697663)"
10982741,JA307862,2017-06-15 10:45:00 UTC,021XX E 87TH ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,"SCHOOL, PUBLIC, BUILDING",true,false,412,4,8,45,24,1191768.0,1847705.0,2017,2018-02-10 15:50:01 UTC,41.737094305,-87.572998178,"(41.737094305, -87.572998178)"
10964559,JA287236,2017-05-31 19:49:00 UTC,031XX W BRYN MAWR AVE,0930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,OTHER,false,false,1711,17,39,13,07,1154296.0,1937044.0,2017,2018-02-10 15:50:01 UTC,41.983076975,-87.707900547,"(41.983076975, -87.707900547)"
10959154,JA280386,2017-05-26 13:28:00 UTC,007XX E 111TH ST,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,RESIDENCE,false,false,531,5,9,50,26,1183356.0,1831503.0,2017,2018-02-10 15:50:01 UTC,41.692833841,-87.60431945,"(41.692833841, -87.60431945)"
10940537,JA258246,2017-05-10 15:00:00 UTC,106XX S LONGWOOD DR,0850,THEFT,ATTEMPT THEFT,RESIDENCE,false,false,2212,22,19,72,06,1165114.0,1834080.0,2017,2018-02-10 15:50:01 UTC,41.70030983,-87.671034303,"(41.70030983, -87.671034303)"
