unique_key,address,census_tract,clearance_date,clearance_status,council_district_code,description,district,latitude,longitude,location,location_description,primary_type,timestamp,x_coordinate,y_coordinate,year,zipcode
20165048469," Austin, TX ",,,,,"RAPE OF A CHILD               ",UK,,,,,Rape,2016-11-22 00:00:00 UTC,,,2016,
20163360181," Austin, TX ",,,,,"RAPE                          ",UK,,,,,Rape,2016-12-01 00:00:00 UTC,,,2016,
20165050280," Austin, TX ",,,,,SEXUAL ASSAULT OF CHILD/OBJECT,UK,,,,,Rape,2016-12-05 00:00:00 UTC,,,2016,
20163470998," Austin, TX ",,2017-01-27 00:00:00 UTC,Cleared by Exception,,"RAPE OF A CHILD               ",UK,,,,,Rape,2016-12-12 00:00:00 UTC,,,2016,
20165053862," Austin, TX ",,2017-02-10 00:00:00 UTC,Not cleared,,"SEXUAL ASSAULT W/ OBJECT      ",UK,,,,,Rape,2016-12-13 00:00:00 UTC,,,2016,
20165052512," Austin, TX ",,,,,SEXUAL ASSAULT OF CHILD/OBJECT,UK,,,,,Rape,2016-12-21 00:00:00 UTC,,,2016,
20165052527," Austin, TX ",,,,,SEXUAL ASSAULT OF CHILD/OBJECT,UK,,,,,Rape,2016-12-21 00:00:00 UTC,,,2016,
20165053399," Austin, TX ",,,,,AGG SEXUAL ASSAULT CHILD/OBJEC,UK,,,,,Rape,2016-12-28 00:00:00 UTC,,,2016,
2015150483," Austin, TX ",,2015-01-27 00:00:00 UTC,Not cleared,,"RAPE                          ",B,,,,,Rape,2015-01-15 00:00:00 UTC,,,2015,
20151542027," Austin, TX ",,2015-07-24 00:00:00 UTC,Not cleared,,"RAPE                          ",D,,,,,Rape,2015-06-03 00:00:00 UTC,,,2015,
20152001758," Austin, TX ",,2015-08-15 00:00:00 UTC,Not cleared,,"RAPE                          ",F,,,,,Rape,2015-07-19 00:00:00 UTC,,,2015,
20151340282," Austin, TX ",,2015-06-15 00:00:00 UTC,Cleared by Exception,,"RAPE                          ",UK,,,,,Rape,2015-05-14 00:00:00 UTC,,,2015,
20151871268," Austin, TX ",,2015-10-27 00:00:00 UTC,Not cleared,,"RAPE                          ",UK,,,,,Rape,2015-07-06 00:00:00 UTC,,,2015,
